apogee_id,glon,glat,snr,vhelio_avg,vscatter,teff,logg,m_h,alpha_m
2M10544837+4423527,168.76362,60.96674,85.20701,-7.946146,0.12348,3449.544,4.68081,-9999,-9999
2M10544837+4423527,168.76362,60.96674,85.20701,-7.946146,0.12348,3449.544,4.68081,-9999,-9999
2M10544837+4423527,168.76362,60.96674,85.20701,-7.946146,0.12348,3449.544,4.68081,-9999,-9999
2M10545522+4344339,169.96251,61.27415,76.61037,25.28882,46.40089,-9999,-9999,-9999,-9999
2M10545522+4344339,169.96251,61.27415,76.61037,25.28882,46.40089,-9999,-9999,-9999,-9999
2M10545522+4344339,169.96251,61.27415,76.61037,25.28882,46.40089,-9999,-9999,-9999,-9999
2M10545522+4344339,169.96251,61.27415,76.61037,25.28882,46.40089,-9999,-9999,-9999,-9999
2M10545568+1410063,232.56493,59.92868,86.48515,9.325812,0.009778379,4709.621,4.551173,0.24588,0.008171299
2M10550308+4814590,162.01679,59.09609,50.6755,-25.69845,0.2808339,3589.281,4.666123,-9999,-9999
2M10550308+4814590,162.01679,59.09609,50.6755,-25.69845,0.2808339,3589.281,4.666123,-9999,-9999
2M10550308+4814590,162.01679,59.09609,50.6755,-25.69845,0.2808339,3589.281,4.666123,-9999,-9999
2M10550574+1419300,232.33472,60.04228,124.7826,-2.546612,0.04486189,3880.635,4.657548,-0.089851,-0.0396127
2M10550804+1535524,230.09255,60.66729,67.41795,7.431799,0.07393076,4630.296,4.588728,-0.046747,-0.0001132
2M10550804+1535524,230.09255,60.66729,67.41795,7.431799,0.07393076,4630.296,4.588728,-0.046747,-0.0001132
2M10550804+1535524,230.09255,60.66729,67.41795,7.431799,0.07393076,4630.296,4.588728,-0.046747,-0.0001132
2M10551519+1623091,228.68269,61.05521,79.33114,-35.71128,0.0938336,4529.017,4.553339,-0.43573,-0.0168147
2M10551519+1623091,228.68269,61.05521,79.33114,-35.71128,0.0938336,4529.017,4.553339,-0.43573,-0.0168147
2M10551519+1623091,228.68269,61.05521,79.33114,-35.71128,0.0938336,4529.017,4.553339,-0.43573,-0.0168147
2M10552416+4851169,160.9721,58.8148,144.5513,-11.87506,0.2227805,4817.866,4.535047,-0.3601,0.0581623
2M10552416+4851169,160.9721,58.8148,144.5513,-11.87506,0.2227805,4817.866,4.535047,-0.3601,0.0581623
2M10552416+4851169,160.9721,58.8148,144.5513,-11.87506,0.2227805,4817.866,4.535047,-0.3601,0.0581623
2M10552416+4851169,160.9721,58.8148,144.5513,-11.87506,0.2227805,4817.866,4.535047,-0.3601,0.0581623
2M10553517+4907556,160.49528,58.68567,124.0032,-20.54813,0.07490131,4138.602,4.641566,-0.18631,-0.0343427
2M10553517+4907556,160.49528,58.68567,124.0032,-20.54813,0.07490131,4138.602,4.641566,-0.18631,-0.0343427
2M10553517+4907556,160.49528,58.68567,124.0032,-20.54813,0.07490131,4138.602,4.641566,-0.18631,-0.0343427
2M10553517+4907556,160.49528,58.68567,124.0032,-20.54813,0.07490131,4138.602,4.641566,-0.18631,-0.0343427
2M10553577+4433534,168.32522,61.01673,195.8905,-83.76961,3.095377,5002.358,4.59385,-0.38958,-0.0128687
2M10553577+4433534,168.32522,61.01673,195.8905,-83.76961,3.095377,5002.358,4.59385,-0.38958,-0.0128687
2M10553577+4433534,168.32522,61.01673,195.8905,-83.76961,3.095377,5002.358,4.59385,-0.38958,-0.0128687
2M10553577+4433534,168.32522,61.01673,195.8905,-83.76961,3.095377,5002.358,4.59385,-0.38958,-0.0128687
2M10553577+4433534,168.32522,61.01673,195.8905,-83.76961,3.095377,5002.358,4.59385,-0.38958,-0.0128687
2M10554693+1543018,230.02657,60.86101,106.4006,-0.1237465,0.05350673,4148.658,4.641901,-0.21202,-0.0306407
2M10554693+1543018,230.02657,60.86101,106.4006,-0.1237465,0.05350673,4148.658,4.641901,-0.21202,-0.0306407
2M10554693+1543018,230.02657,60.86101,106.4006,-0.1237465,0.05350673,4148.658,4.641901,-0.21202,-0.0306407
2M10555172+4336282,170.06217,61.48608,205.6142,-34.6015,0.1354801,4964.123,4.505989,-0.021855,0.0385093
2M10555172+4336282,170.06217,61.48608,205.6142,-34.6015,0.1354801,4964.123,4.505989,-0.021855,0.0385093
2M10555172+4336282,170.06217,61.48608,205.6142,-34.6015,0.1354801,4964.123,4.505989,-0.021855,0.0385093
2M10555172+4336282,170.06217,61.48608,205.6142,-34.6015,0.1354801,4964.123,4.505989,-0.021855,0.0385093
2M10560741+4829006,161.44606,59.11852,19.29445,-13.73162,0.3744999,4847.915,4.268128,-0.15367,-0.0504227
2M10560741+4829006,161.44606,59.11852,19.29445,-13.73162,0.3744999,4847.915,4.268128,-0.15367,-0.0504227
2M10560741+4829006,161.44606,59.11852,19.29445,-13.73162,0.3744999,4847.915,4.268128,-0.15367,-0.0504227
2M10561203+4424502,168.50105,61.18153,65.33259,-3.265067,0.02957923,5096.039,3.755911,0.29659,0.039324
